Module Name,Type,Weight (N),Center of Mass (mm),Center of Buoyancy (mm),Buoyancy (N),Height (mm),Radius (mm),
Comm Housing,Module,66.5205309,104.5135,107.95,115.9417861,215.9,114.3,1596.65
Control Housing,Module,61.9248402,103.4132,107.95,116.0435775,215.9,114.3,996.4638
Buoyancy Vessel Empty,Module,258.632802,112.4137,123.9172,96.77052889,255.4,,655
Battery Box,Module,1053.292146,133.024,148.8589,1153.316962,275,,1287.7
Frame Port,Wall,335.17827,893,893,352.0831327,1870,,0
Frame Starboard,Wall,328.7854854,897,897,345.362909,1870,,0
Battery Plate,Module,146.9786193,12.7,12.7,154.389302,25.4,,629.6
Buoyancy Plate,Module,102.9724308,12.7,12.7,108.1643319,25.4,,1262.3
Comm Plate,Module,123.2634348,12.7,12.7,129.4784353,25.4,,1557.3
Arm Module,Module,353.0276631,73.02,66.675,238.1829708,133.35,,96.25
Hopper Empty,Module,15.74543259,135.4264,135.4264,16.53931969,285.75,,343.85
,,,,,,,,
Vehicle Height,1870,,,,,,,
Water Height,2000,,,,,,,
Weight Height,500,,,,,,,
Buoyancy Height,1500,,,,,,,
Vehicle Area,630000,,,,,,,